"PolicyID","Exposure","CarAge","Density","ClaimAmount","Error","ln_expo","ln_expo_err"
100018,1,0,473,1122,0,0,0
100019,0.6,1,473,63,-0.226962848776075,-0.510825623765991,-0.737788472542066
100019,0.6,1,473,1141,-0.0178073157728441,-0.510825623765991,-0.528632939538835
100042,0.88,0,125,1069,0,-0.127833371509885,-0.127833371509885
100049,0.83,0,125,110,0,-0.186329578191493,-0.186329578191493
100052,0.83,0,86,1138,0,-0.186329578191493,-0.186329578191493
100062,0.77,0,247,329,0,-0.261364764134408,-0.261364764134408
100084,0.62,0,473,2426,0,-0.478035800943,-0.478035800943
100092,0.52,0,206,1154,0,-0.653926467406664,-0.653926467406664
100123,0.87,0,84,1146,0,-0.139262067333508,-0.139262067333508
100133,0.76,0,57,1736,0,-0.27443684570176,-0.27443684570176
100133,0.76,0,57,498,0,-0.27443684570176,-0.27443684570176
100141,0.55,0,18,66,0,-0.59783700075562,-0.59783700075562
100144,0.72,1,23,318,-0.0520974818972488,-0.328504066972036,-0.380601548869285
10015,0.1,0,153,2027,0,-2.30258509299405,-2.30258509299405
100180,0.5,1,15,1130,-0.0895272165599985,-0.693147180559945,-0.782674397119944
100192,0.4,0,15,359,0,-0.916290731874155,-0.916290731874155
10022,1,0,104,617,0,0,0
100243,0.73,1,376,3270,0.172644760125651,-0.3147107448397,-0.142065984714049
100244,0.23,1,1054,97,-0.0370319545262605,-1.46967597005894,-1.5067079245852
100249,0.85,0,1054,1166,0,-0.162518929497775,-0.162518929497775
100256,0.17,1,376,1112,0.217541335034045,-1.77195684193188,-1.55441550689783
100290,0.95,0,1054,1098,0,-0.0512932943875506,-0.0512932943875506
100292,0.92,0,17,211,0,-0.083381608939051,-0.083381608939051
10030,1,0,94,78,0,0,0
100319,0.78,0,1054,1776,0,-0.2484613592985,-0.2484613592985
100346,0.68,0,1054,67,0,-0.385662480811985,-0.385662480811985
100349,0.66,0,1054,1812,0,-0.415515443961666,-0.415515443961666
100357,0.41,1,1054,2953,0.383828666325486,-0.891598119283784,-0.507769452958298
100360,0.59,0,1054,1573,0,-0.527632742082372,-0.527632742082372
100360,0.59,0,1054,211,0,-0.527632742082372,-0.527632742082372
100373,0.07,1,1054,1167,0.0807130277364945,-2.65926003693278,-2.57854700919628
100396,0.43,0,30,1073,0,-0.843970070294529,-0.843970070294529
100402,0.13,1,1054,3112,0.0819700304327349,-2.04022082852655,-1.95825079809382
100403,0.36,1,1054,1098,0.264032499936058,-1.02165124753198,-0.757618747595923
100413,0.17,0,167,579,0,-1.77195684193188,-1.77195684193188
100419,0.53,0,127,1090,0,-0.63487827243597,-0.63487827243597
100439,0.04,0,167,11582,0,-3.2188758248682,-3.2188758248682
100453,0.17,1,127,1033,0.14382211887944,-1.77195684193188,-1.62813472305244
100535,0.34,1,51,45,0.289642774839909,-1.07880966137193,-0.789166886532021
100583,1,0,20,1104,0,0,0
100621,0.69,0,1313,61,0,-0.371063681390832,-0.371063681390832
100627,0.35,0,11,545,0,-1.04982212449868,-1.04982212449868
100628,0.52,0,27,1181,0,-0.653926467406664,-0.653926467406664
100639,0.1,0,298,65,0,-2.30258509299405,-2.30258509299405
100649,0.2,0,2258,4462,0,-1.6094379124341,-1.6094379124341
10065,0.78,1,105,2771,0.0420197586391782,-0.2484613592985,-0.206441600659321
100652,1,0,511,1147,0,0,0
100658,1,1,405,1072,0.503183233389967,0,0.503183233389967
100663,0.63,0,11,109,0,-0.462035459596559,-0.462035459596559
10070,1,0,27,1130,0,0,0
100732,0.81,0,2399,139,0,-0.210721031315653,-0.210721031315653
10075,1,1,105,297,-0.0174491498969376,0,-0.0174491498969376
100805,1,0,432,32,0,0,0
100826,0.69,1,3095,1134,0.187487842292098,-0.371063681390832,-0.183575839098734
100826,0.69,1,3095,3511,0.0356362433336237,-0.371063681390832,-0.335427438057208
100827,0.16,1,3095,1112,0.139967659267044,-1.83258146374831,-1.69261380448127
100838,0.46,0,3095,3937,0,-0.776528789498996,-0.776528789498996
100840,0.43,0,3095,1193,0,-0.843970070294529,-0.843970070294529
100844,1,0,492,1752,0,0,0
100863,0.29,1,3321,478,0.141673851470751,-1.23787435600162,-1.09620050453087
100865,0.31,1,3321,994,0.152282411693493,-1.17118298150295,-1.01890056980945
10088,0.64,1,203,8421,-0.152507296901623,-0.446287102628419,-0.598794399530042
100885,0.83,0,1085,133,0,-0.186329578191493,-0.186329578191493
100896,0.27,1,1572,122,-0.161725122867663,-1.30933331998376,-1.47105844285143
100914,0.79,1,1466,163,0.374211781958722,-0.23572233352107,0.138489448437652
100916,0.37,1,6157,1267,-0.133215009214738,-0.994252273343867,-1.12746728255861
100928,1,0,116,1111,0,0,0
100928,1,0,116,1203,0,0,0
100929,0.53,0,3095,1102,0,-0.63487827243597,-0.63487827243597
100936,1,0,1386,1110,0,0,0
100937,0.48,1,582,2317,0.25934896788319,-0.7339691750802,-0.47462020719701
100945,1,1,3095,1172,0.0371322267994425,0,0.0371322267994425
100981,1,0,1287,1154,0,0,0
101006,1,1,2715,59,0.0819730000901014,0,0.0819730000901014
101028,0.91,1,754,23,0.0854987656222489,-0.0943106794712413,-0.00881191384899239
101036,0.12,0,41,1229,0,-2.12026353620009,-2.12026353620009
101044,0.86,0,1982,1098,0,-0.150822889734584,-0.150822889734584
