"PolicyID","Exposure","CarAge","Density","ClaimAmount"
"100018",1,0,473,1122
"100019",0.6,1,473,63
"100019",0.6,1,473,1141
"100042",0.88,0,125,1069
"100049",0.83,0,125,110
"100052",0.83,0,86,1138
"100062",0.77,0,247,329
"100084",0.62,0,473,2426
"100092",0.52,0,206,1154
"100123",0.87,0,84,1146
"100133",0.76,0,57,1736
"100133",0.76,0,57,498
"100141",0.55,0,18,66
"100144",0.72,1,23,318
"10015",0.1,0,153,2027
"100180",0.5,1,15,1130
"100192",0.4,0,15,359
"10022",1,0,104,617
"100243",0.73,1,376,3270
"100244",0.23,1,1054,97
"100249",0.85,0,1054,1166
"100256",0.17,1,376,1112
"100290",0.95,0,1054,1098
"100292",0.92,0,17,211
"10030",1,0,94,78
"100319",0.78,0,1054,1776
"100346",0.68,0,1054,67
"100349",0.66,0,1054,1812
"100357",0.41,1,1054,2953
"100360",0.59,0,1054,1573
"100360",0.59,0,1054,211
"100373",0.07,1,1054,1167
"100396",0.43,0,30,1073
"100402",0.13,1,1054,3112
"100403",0.36,1,1054,1098
"100413",0.17,0,167,579
"100419",0.53,0,127,1090
"100439",0.04,0,167,11582
"100453",0.17,1,127,1033
"100535",0.34,1,51,45
"100583",1,0,20,1104
"100621",0.69,0,1313,61
"100627",0.35,0,11,545
"100628",0.52,0,27,1181
"100639",0.1,0,298,65
"100649",0.2,0,2258,4462
"10065",0.78,1,105,2771
"100652",1,0,511,1147
"100658",1,1,405,1072
"100663",0.63,0,11,109
"10070",1,0,27,1130
"100732",0.81,0,2399,139
"10075",1,1,105,297
"100805",1,0,432,32
"100826",0.69,1,3095,1134
"100826",0.69,1,3095,3511
"100827",0.16,1,3095,1112
"100838",0.46,0,3095,3937
"100840",0.43,0,3095,1193
"100844",1,0,492,1752
"100863",0.29,1,3321,478
"100865",0.31,1,3321,994
"10088",0.64,1,203,8421
"100885",0.83,0,1085,133
"100896",0.27,1,1572,122
"100914",0.79,1,1466,163
"100916",0.37,1,6157,1267
"100928",1,0,116,1111
"100928",1,0,116,1203
"100929",0.53,0,3095,1102
"100936",1,0,1386,1110
"100937",0.48,1,582,2317
"100945",1,1,3095,1172
"100981",1,0,1287,1154
"101006",1,1,2715,59
"101028",0.91,1,754,23
"101036",0.12,0,41,1229
"101044",0.86,0,1982,1098
"101047",0.85,0,2715,176
"101072",0.75,1,122,59
"101073",0.42,0,60,17114
"10108",0.26,1,1313,4502
"101080",0.73,0,2715,358
"101086",0.64,0,2715,161
"101091",0.22,1,93,2036833
"101098",0.25,0,53,1066
"101112",0.26,1,913,1131
"101119",1,1,58,1144
"101123",0.87,0,515,475
"101162",1,0,283,1087
"101193",1,0,15386,88
"101205",1,0,283,348
"101213",1,0,2103,1068
"101237",0.21,1,37,1633
"101247",1,0,37,1107
"101251",0.91,0,1313,1111
"101253",0.85,0,1313,1101
"101261",0.29,0,1313,1330
"101283",1,0,298,944
"101294",0.41,0,71,1971
"101294",0.41,0,71,1097
"101299",1,1,106,203
"10130",1,0,282,33
"101309",0.35,1,1313,1144
"101323",0.96,0,298,1622
"101368",0.8,0,1313,376
"101375",0.66,1,150,2890
"101388",0.68,0,1313,309
"101441",0.64,0,4128,62
"101452",1,0,205,85
"101456",0.87,0,354,293
"101495",1,0,713,1159
"101508",1,0,568,4223
"101525",0.28,0,1490,1129
"101526",1,0,110,1131
"10153",0.84,0,15703,1197
"101532",0.26,0,416,1290
"101569",0.59,1,439,1153
"101569",0.59,1,439,1121
"101576",0.05,0,416,81
"101580",0.58,1,226,159
"101673",0.49,0,30,1155
"10168",1,0,1064,1107
"101701",0.73,0,239,2002
"101721",0.68,0,1313,1128
"101765",0.91,0,2949,115
"101765",0.91,0,2949,5780
"101774",1,1,1386,18
"101783",0.58,0,567,6708
"101795",0.94,1,263,340
"101809",0.79,0,1386,1079
"101818",0.5,0,1466,72
"101819",0.75,1,575,1126
"101819",0.75,1,575,1063
