"VehYear","Area","StateAb","PremTotal","Affiliation","ExposTotal","SumInsAvg","AggClaim"
2006,"grp26","PA",1786.35,1,1.01,34621.5,659
2009,"grp19","PR",3439.41,1,1.86,64354.04,91
2004,"grp20","SP",16914.33,1,18.11,17209.43,486
2007,"grp23","RS",8323.64,1,14.6,20288.62,8736
2008,"grp5","BA",63444.13,1,52.75,33950.38,23364
2009,"grp20","SP",2824.05,1,1.62,35389.79,431
2008,"grp9","RS",269.51,1,0.36,37962.97,11043
2004,"grp30","SP",1675.39,1,2,24532.47,139
2001,"grp2","AL",755.79,1,0.78,19892.34,549
2000,"grp23","RS",2039.75,1,1.5,20108.8,1729
2010,"grp10","ES",701.7,1,1.1,8411.81,11310
2010,"grp28","PE",13473.9,1,13.48,54722.89,7293
2009,"grp10","ES",102720.27,1,70.61,61153.36,5860
1997,"grp19","PR",2275.13,1,3.73,12737.95,67
2006,"grp20","SP",11654.78,1,4.01,88693.49,80
2008,"grp14","RJ",1036.55,0,0.39,132012.99,4113
2005,"grp20","SP",23399.68,1,23.84,27332.75,3454
2003,"grp21","RJ",2551.07,1,1.84,26298.13,103
2004,"grp21","RJ",6013.04,1,6.13,16529.68,3800
2009,"grp16","MA",3149.85,1,4.42,21176.43,1673
2003,"grp9","PR",28483.11,1,56.71,17343.15,444
2010,"grp6","SC",5786.97,1,4.6,45870.73,953
2007,"grp10","ES",5264.51,1,3.61,42368.75,5505
2005,"grp20","SP",9789.67,1,7.33,41910.27,289
2009,"grp11","PR",4026.1,1,6.22,28857.41,590
2001,"grp40","SP",373.53,1,0.5,15930,36
2006,"grp24","MG",10359.07,1,6.93,42318.45,10171
2009,"grp9","PR",5396.24,1,5.01,57519.93,63677
1998,"grp30","SP",2151.02,1,2.72,12528.89,12040
1995,"grp20","SP",1990.31,1,2.19,5455.64,6950
2007,"grp11","PR",4053.11,1,4.56,36319.66,5580
1999,"grp20","SP",4602.55,1,3.95,12533.15,345
2010,"grp22","SC",7147.58,1,10.32,35355.72,5785
2006,"grp23","RS",28643.42,1,15.29,41041.89,47473
2011,"grp7","DF",1935.28,1,1.5,49140.15,4836
2006,"grp38","MG",1407.42,1,1.97,27184.1,1744
1998,"grp20","SP",417.19,1,0.5,14787.26,285
2008,"grp13","SP",11699.23,1,6.72,37302.93,42095
2001,"grp23","RS",3094.3,1,3.74,11238.63,329
2004,"grp7","DF",5455.25,1,11.89,17466.52,3348
1999,"grp23","RS",1148.37,1,0.81,19759.6,80
2005,"grp13","SP",1445.41,1,1.24,20381.8,20786
2008,"grp20","SP",74050.96,1,72.92,32137.7,91425
2009,"grp19","PR",5247.42,1,5.19,31583.72,2854
2006,"grp8","CE",5294.59,1,5.02,17479.07,1
2008,"grp5","BA",43586.43,1,52.28,24117.41,7632
2007,"grp21","RJ",37064.7,1,28.98,29080.96,4532
2009,"grp30","SP",1530.79,1,2.02,21739.76,1163
2001,"grp13","SP",30470.22,1,47.3,15505.03,377
1995,"grp24","MG",1883.85,1,3.58,7912.55,1043
1996,"grp12","GO",2438.34,1,4.47,9532.2,36
2001,"grp23","RS",1098.44,1,0.36,30956,1
2007,"grp23","RS",12063.4,1,14.02,29840.31,747
2011,"grp10","ES",3181.18,1,3.96,33018.92,5999
2007,"grp21","RJ",21305.75,1,14.22,39932.14,67
2010,"grp28","PE",80299.15,1,108.39,31174.28,39713
2005,"grp20","SP",5796.41,1,4.54,22141.11,241
2008,"grp20","SP",6067.27,1,2.52,97003.4,108
2009,"grp26","PA",3424.45,1,2.37,48422.14,67
2009,"grp20","SP",22492.24,1,17.23,46284.96,52096
2001,"grp20","SP",6234.01,1,5.13,14408.03,617
2007,"grp28","PE",48275.27,1,63.49,24029.72,7364
2010,"grp9","PR",9326.33,1,6.12,57283.67,7409
2005,"grp34","SE",1043.99,1,0.93,28511.71,3329
2010,"grp23","RS",7406.94,1,9.1,32415.52,788
1998,"grp20","SP",1746.96,1,1.93,22343.64,240
2003,"grp7","DF",3490.96,1,5.29,21355.52,170
2006,"grp16","MA",1453.97,1,1.88,17341.98,36
1999,"grp19","PR",2272.75,1,3.55,13930.81,648
2008,"grp20","SP",18426.64,1,11.15,37488.5,135
2005,"grp13","SP",33891.91,1,45.48,19442.3,6757
2007,"grp30","SP",37371.89,1,19.06,68277.85,75300
2011,"grp7","DF",1039.6,1,0.53,67033.76,4346
2006,"grp12","GO",6497.35,1,7.69,27308.93,5977
2005,"grp40","SP",11881.28,1,18.6,15733.25,580
2011,"grp13","SP",1413.69,1,1.72,28017.78,36
2007,"grp21","RJ",53366.77,1,50.62,24854.54,658
2011,"grp30","SP",9021.67,1,7.06,43051.86,42055
2008,"grp9","RS",11440.56,1,18.78,25528.9,13577
2005,"grp21","RJ",5006.99,1,5.25,16886.91,16984
2006,"grp31","RN",8447.63,1,15.05,19073.55,211
2008,"grp40","SP",4315.42,1,5.21,23305.53,4747
2006,"grp6","SC",5514.59,1,8.03,20240.11,22667
2011,"grp13","SP",11705.93,1,11.55,37180.39,39334
2008,"grp34","SE",7819.6,1,11.45,32216.51,1773
2005,"grp20","SP",173325.3,1,181.84,22830.48,132171
2008,"grp28","PE",6447.89,1,2.67,103630,13750
2004,"grp24","MG",12376.51,1,9.31,29472.63,269
2005,"grp13","SP",17922.12,1,13.38,26582.06,242
2005,"grp9","PR",21935.42,1,22.89,33074.84,648
2009,"grp26","PA",2606.91,1,1.95,30842.93,67
2006,"grp20","SP",5374.43,1,1.61,99057.48,36
2003,"grp17","MT",5541.95,1,8.98,16618.59,225
2007,"grp24","MG",3968.42,0,2.08,35326.99,69614
1992,"grp21","RJ",3005.52,1,4.04,7156.28,67
2007,"grp24","MG",8756.97,1,9.26,34268.84,79
1995,"grp21","RJ",520.53,1,0.5,14049.29,68
2003,"grp20","SP",3318.92,1,3.57,15309.73,17631
2010,"grp40","SP",28965.16,1,31.48,37360.37,41621
2008,"grp5","BA",79564.04,1,115.48,20345.8,14573
2011,"grp17","MT",3963.19,1,3.87,35387.85,79
2011,"grp16","MA",6802.39,1,5.61,38396.61,8215
2010,"grp8","CE",4102.4,1,3.98,37024.22,302
2011,"grp38","MG",5511.42,1,7.6,17224.24,3080
2000,"grp9","RS",1782.63,1,2.24,14063.6,2796
1997,"grp40","SP",3610.41,1,6.01,14657.81,335
2009,"grp34","SE",5591.67,1,6.47,27539.29,5196
1998,"grp20","SP",18685.57,1,26.94,12451.91,1193
2010,"grp30","SP",24115.94,1,28.75,32568.2,8749
2010,"grp14","RJ",38586.17,1,41.32,29011.86,12266
2007,"grp38","MG",2170.8,1,3.84,19237.03,567
2011,"grp25","SC",430.27,1,0.59,26980.84,3207
2008,"grp40","SP",715.51,1,0.53,40453.82,36
2009,"grp30","SP",15712.32,1,4.02,147014.87,772
2008,"grp27","PB",1001.44,1,1,29035.99,3681
2011,"grp21","RJ",32431.88,1,19.72,28222.04,33179
2008,"grp9","PR",1172.87,1,1.51,24469.33,463
2001,"grp20","SP",1915.59,1,0.84,47562.72,140
